시도명,시군구명,생년,RFID구분,축종,품종,마릿수,맹견여부
경기도,의정부시,2012,외장형,개,시바,2,N
경기도,의정부시,2012,내장형,개,시베리안 허스키,2,N
경기도,의정부시,2012,외장형,개,시츄,72,N
경기도,의정부시,2012,인식표,개,시츄,8,N
경기도,의정부시,2012,내장형,개,시츄,65,N
경기도,의정부시,2012,외장형,개,실키테리어,1,N
경기도,의정부시,2012,외장형,개,아메리칸 코카 스파니엘,1,N
경기도,의정부시,2012,내장형,개,아메리칸 코카 스파니엘,2,N
경기도,의정부시,2012,내장형,개,아메리칸 핏불 테리어,1,Y
경기도,의정부시,2012,외장형,개,알라스칸 말라뮤트,1,N
경기도,의정부시,2012,인식표,개,올드 잉글리쉬 쉽독,1,N
경기도,의정부시,2012,외장형,개,요크셔 테리어,68,N
경기도,의정부시,2012,인식표,개,요크셔 테리어,10,N
경기도,의정부시,2012,내장형,개,요크셔 테리어,40,N
경기도,의정부시,2012,외장형,개,웨스트하이랜드화이트테리어,1,N
경기도,의정부시,2012,내장형,개,웰시 코기 카디건,1,N
경기도,의정부시,2012,외장형,개,웰시 코기 펨브로크,4,N
경기도,의정부시,2012,인식표,개,웰시 코기 펨브로크,1,N
경기도,의정부시,2012,내장형,개,웰시 코기 펨브로크,1,N
경기도,의정부시,2012,내장형,개,이탈리안 그레이 하운드,1,N
경기도,의정부시,2012,인식표,개,잉글리쉬 코카 스파니엘,1,N
경기도,의정부시,2012,외장형,개,재패니즈 스피츠,3,N
경기도,의정부시,2012,인식표,개,재패니즈 스피츠,1,N
경기도,의정부시,2012,인식표,개,잭 러셀 테리어,2,N
경기도,의정부시,2012,내장형,개,잭 러셀 테리어,3,N
경기도,의정부시,2012,외장형,개,제페니즈칭,1,N
경기도,의정부시,2012,내장형,개,제페니즈칭,1,N
경기도,의정부시,2012,외장형,개,진도견,25,N
경기도,의정부시,2012,인식표,개,진도견,2,N
경기도,의정부시,2012,내장형,개,진도견,14,N
경기도,의정부시,2012,내장형,개,차우차우,1,N
경기도,의정부시,2012,외장형,개,치와와,35,N
경기도,의정부시,2012,인식표,개,치와와,6,N
경기도,의정부시,2012,내장형,개,치와와,14,N
경기도,의정부시,2012,외장형,개,코카 스파니엘,10,N
경기도,의정부시,2012,내장형,개,코카 스파니엘,8,N
경기도,의정부시,2012,외장형,개,토이 푸들,8,N
경기도,의정부시,2012,인식표,개,토이 푸들,3,N
경기도,의정부시,2012,내장형,개,토이 푸들,7,N
경기도,의정부시,2012,내장형,개,퍼그,1,N
경기도,의정부시,2012,외장형,개,페키니즈,10,N
경기도,의정부시,2012,인식표,개,페키니즈,2,N
경기도,의정부시,2012,내장형,개,페키니즈,9,N
경기도,의정부시,2017,내장형,개,휘펫,1,N
경기도,의정부시,2017,내장형,고양이,러시안 블루,1,N
경기도,의정부시,2017,내장형,고양이,믹스묘,1,N
경기도,의정부시,2017,내장형,고양이,브리티시 쇼트헤어,1,N
경기도,의정부시,2017,내장형,고양이,아메리칸 쇼트헤어,1,N
경기도,의정부시,2017,내장형,고양이,한국 고양이,9,N
경기도,의정부시,2018,외장형,개,골든 리트리버,3,N
경기도,의정부시,2018,인식표,개,골든 리트리버,3,N
경기도,의정부시,2018,내장형,개,골든 리트리버,16,N
경기도,의정부시,2018,내장형,개,그레이 하운드,3,N
경기도,의정부시,2018,외장형,개,그레이트 덴,1,N
경기도,의정부시,2018,내장형,개,그레이트 덴,1,N
경기도,의정부시,2018,외장형,개,그레이트 피레니즈,1,N
경기도,의정부시,2018,내장형,개,그레이트 피레니즈,1,N
경기도,의정부시,2018,외장형,개,기타,10,N
경기도,의정부시,2018,인식표,개,기타,9,N
경기도,의정부시,2018,내장형,개,기타,11,N
경기도,의정부시,2018,내장형,개,꼬똥 드 뚤레아,1,N
경기도,의정부시,2018,외장형,개,닥스훈트,13,N
경기도,의정부시,2018,인식표,개,닥스훈트,3,N
경기도,의정부시,2018,내장형,개,닥스훈트,20,N
경기도,의정부시,2018,내장형,개,달마시안,1,N
경기도,의정부시,2018,외장형,개,도베르만,2,N
경기도,의정부시,2018,내장형,개,도베르만,1,N
경기도,의정부시,2018,외장형,개,라브라도 리트리버,3,N
경기도,의정부시,2018,인식표,개,라브라도 리트리버,2,N
경기도,의정부시,2018,내장형,개,라브라도 리트리버,14,N
경기도,의정부시,2018,내장형,개,로트와일러,1,Y
경기도,의정부시,2018,외장형,개,말라뮤트,2,N
경기도,의정부시,2018,내장형,개,말라뮤트,2,N
경기도,의정부시,2018,외장형,개,말티즈,127,N
경기도,의정부시,2018,인식표,개,말티즈,49,N
경기도,의정부시,2018,내장형,개,말티즈,210,N
경기도,의정부시,2018,외장형,개,미니어쳐 슈나우저,1,N
경기도,의정부시,2018,인식표,개,미니어쳐 슈나우저,1,N
경기도,이천시,2008,인식표,개,푸들,3,N
경기도,이천시,2008,내장형,개,푸들,10,N
경기도,이천시,2009,외장형,개,골든 리트리버,2,N
경기도,이천시,2009,외장형,개,그레이트 피레니즈,1,N
경기도,이천시,2009,내장형,개,그레이트 피레니즈,2,N
경기도,이천시,2009,외장형,개,기타,1,N
경기도,이천시,2009,외장형,개,닥스훈트,5,N
경기도,이천시,2009,인식표,개,닥스훈트,1,N
경기도,이천시,2009,내장형,개,닥스훈트,3,N
경기도,이천시,2009,외장형,개,라브라도 리트리버,2,N
경기도,이천시,2009,외장형,개,말티즈,65,N
경기도,이천시,2009,인식표,개,말티즈,5,N
경기도,이천시,2009,내장형,개,말티즈,48,N
경기도,이천시,2009,내장형,개,미니어쳐 푸들,2,N
경기도,이천시,2009,외장형,개,미니어쳐 핀셔,2,N
경기도,이천시,2009,내장형,개,미니어쳐 핀셔,2,N
경기도,이천시,2009,외장형,개,믹스견,25,N
경기도,이천시,2009,인식표,개,믹스견,4,N
경기도,이천시,2009,내장형,개,믹스견,16,N
경기도,이천시,2009,인식표,개,베들링턴 테리어,1,N
경기도,이천시,2009,외장형,개,불 테리어,2,N
경기도,이천시,2009,외장형,개,불독,1,N
경기도,이천시,2009,내장형,개,비숑 프리제,3,N
경기도,이천시,2009,외장형,개,사모예드,1,N
경기도,이천시,2009,인식표,개,사모예드,1,N
경기도,이천시,2009,내장형,개,사모예드,1,N
경기도,이천시,2009,외장형,개,삽살개,1,N
경기도,이천시,2009,내장형,개,슈나우져,1,N
경기도,이천시,2009,외장형,개,스피츠,1,N
경기도,이천시,2009,인식표,개,스피츠,1,N
경기도,이천시,2009,내장형,개,스피츠,1,N
경기도,이천시,2014,인식표,개,푸들,5,N
경기도,이천시,2014,내장형,개,푸들,87,N
경기도,이천시,2014,외장형,개,풍산견,3,N
경기도,이천시,2014,인식표,개,풍산견,2,N
경기도,이천시,2014,내장형,개,풍산견,3,N
경기도,이천시,2014,외장형,개,프렌치 불독,1,N
경기도,이천시,2014,내장형,개,프렌치 불독,1,N
경기도,이천시,2014,내장형,고양이,한국 고양이,1,N
경기도,이천시,2015,외장형,개,골든 리트리버,3,N
경기도,이천시,2015,인식표,개,골든 리트리버,4,N
경기도,이천시,2015,내장형,개,골든 리트리버,20,N
경기도,이천시,2015,외장형,개,그레이트 피레니즈,1,N
