시군명,업체명,업체전화번호,수용능력수,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,가평군동물보호센터,031-580-4763,100,12408,경기도 가평군 가평읍 승안리 100번지,경기도 가평군 가평읍 아랫마장길 59,37.8459543,127.4991358
고양시,고양시동물보호센터,031-962-3232,150,10563,경기도 고양시 덕양구 원흥동 471-10번지,경기도 고양시 덕양구 고양대로 1695,37.6496069,126.870066
광주시,광주TNR동물병원,031-798-7581,400,12740,경기도 광주시 송정동 6-9번지,경기도 광주시 경안천로 144,37.41746097,127.2752964
남양주시,남양주동물보호센터,031-590-2785,100,12246,경기도 남양주시 이패동 484번지,경기도 남양주시 경강로163번길 32-27,37.6089046,127.1918026
부천시,가나동물병원,,20,14728,경기도 부천시 송내동 393-1번지,경기도 부천시 경인로 72,37.48350736,126.7631747
부천시,CJ동물병원,,15,14580,경기도 부천시 중동 1134번지,경기도 부천시 소향로 246,37.50029663,126.7751273
부천시,가야동물병원,,15,14630,경기도 부천시 심곡동 367-12번지,경기도 부천시 부천로 69,37.49060016,126.7838949
부천시,24시아이동물메디컬,032-677-5262,35,14427,경기도 부천시 원종동 229-8번지,경기도 부천시 소사로 779,37.5256574,126.8045482
성남시,펫앤쉘터동물병원,031-714-8391,74,13601,경기도 성남시 분당구 수내동 87-1번지,경기도 성남시 분당구 불정로 266,37.3670017,127.1276345
수원시,수원시동물보호센터,031-228-3557,100,16511,경기도 수원시 영통구 하동 40-10번지,경기도 수원시 영통구 광교호수로 234,37.28501037,127.0786968
시흥시,시흥시동물누리보호센터,0507-1317-6943,100,15007,경기도 시흥시 정왕동 산15-7번지,경기도 시흥시 뒷방울길 218,37.37405365,126.7427931
안산시,(사)한국야생동물보호협회,031-296-0124,250,15301,경기도 안산시 상록구 부곡동 231-5번지,경기도 안산시 상록구 청곡길 50,37.3401156,126.8700487
안산시,스타동물병원,031-296-0124,60,15466,경기도 안산시 단원구 고잔동 730-3번지,경기도 안산시 단원구 한양대학로 208,37.3135805,126.8367508
안성시,이성준동물병원,031-673-5858,90,17590,경기도 안성시 봉남동 326-2번지,경기도 안성시 중앙로 431-1,37.0065829,127.274787
양주시,(사)한국동물구조관리협회,031-867-0119,800,11409,경기도 양주시 남면 상수리 410-1번지,경기도 양주시 남면 감악산로 63-37,37.8700531,126.9831861
양평군,양평군품유기동물보호센터,031-770-2337,60,12547,경기도 양평군 양평읍 공흥리 1-1번지,경기도 양평군 양평읍 농업기술센터길 59,37.51079775,127.5142953
여주시,위더스동물메디컬센터 부설동물보호센터,031-882-4381,100,12641,경기도 여주시 세종대왕면 신지리 764-4번지,경기도 여주시 세종대왕면 능서공원길 34,37.297553,127.5756334
오산시,오산시 수의사회,031-374-4644,40,18130,경기도 오산시 오산동 609-55번지,경기도 오산시 성호대로 36,37.149051,127.065149
용인시,용인시동물보호센터,031-324-3463,200,17090,경기도 용인시 처인구 삼가동 164번지,경기도 용인시 처인구 중부대로 1074-1,37.243299,127.1591338
평택시,평택시 동물보호센터,031-8024-3849,50,17705,경기도 평택시 진위면 야막리 85-4번지,경기도 평택시 진위면 야막길 108-86,37.13063033,127.0554225
하남시,하남동물병원,031-793-7802,20,12978,경기도 하남시 덕풍동 420-35번지,경기도 하남시 신평로 37,37.5371145,127.204029
화성시,남양동물보호센터,031-356-2281,100,18254,경기도 화성시 남양읍 북양리 12-2번지,경기도 화성시 남양읍 화성로 1483-27,37.22494992,126.8434243
