"자치구별(1)"	자치구별(2)	2022	2022	2022	2022	2022	2022	2022	2022	2022	2022	2022	2022	2022	2022	2022	2022
"자치구별(1)"	자치구별(2)	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계
"자치구별(1)"	자치구별(2)	소계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
"자치구별(1)"	자치구별(2)	소계	소계	인도(주인)	입양분양	폐사안락사	계류기증	소계	인도(주인)	입양분양	폐사안락사	계류기증	소계	인도(주인)	입양분양	폐사안락사	계류기증
"합계"	소계	4870	2491	1110	814	536	31	2134	56	621	1393	64	245	11	124	105	5
"합계"	종로구	191	79	28	22	29	-	103	1	15	87	-	9	-	6	3	-
"합계"	중구	93	36	19	10	7	-	47	1	13	33	-	10	-	5	5	-
"합계"	용산구	238	118	79	33	5	1	115	11	48	56	-	5	1	3	1	-
"합계"	성동구	165	70	34	17	19	-	91	3	11	77	-	4	-	4	-	-
"합계"	광진구	167	67	33	27	7	-	96	2	18	76	-	4	-	3	1	-
"합계"	동대문구	201	94	34	41	18	1	99	3	38	57	1	8	-	5	3	-
"합계"	중랑구	199	102	48	35	16	3	84	-	25	53	6	13	-	2	11	-
"합계"	성북구	168	115	48	35	32	-	44	1	6	37	-	9	1	7	1	-
"합계"	강북구	270	162	56	63	43	-	91	-	21	70	-	17	1	6	10	-
"합계"	도봉구	137	82	45	24	13	-	47	3	18	26	-	8	1	5	2	-
"합계"	노원구	215	137	48	54	30	5	63	-	7	56	-	15	-	9	6	-
"합계"	은평구	273	152	62	39	50	1	106	3	18	84	1	15	-	8	7	-
"합계"	서대문구	120	80	30	23	27	-	38	-	15	23	-	2	1	-	1	-
"합계"	마포구	286	82	45	26	5	6	199	6	129	53	11	5	1	2	2	-
"합계"	양천구	189	93	54	22	17	-	82	7	27	46	2	14	-	6	8	-
"합계"	강서구	222	119	49	42	27	1	86	2	13	70	1	17	1	8	8	-
"합계"	구로구	180	94	43	32	19	-	71	2	13	56	-	15	-	8	7	-
"합계"	금천구	148	100	33	38	27	2	43	-	6	37	-	5	-	2	3	-
"합계"	영등포구	152	72	37	23	11	1	68	-	7	59	2	12	1	7	4	-
"합계"	동작구	224	68	41	17	9	1	147	2	38	84	23	9	-	6	2	1
"합계"	관악구	298	199	74	62	61	2	89	3	25	54	7	10	1	6	3	-
"합계"	서초구	130	77	23	26	24	4	45	-	10	34	1	8	-	6	2	-
"합계"	강남구	147	92	41	37	14	-	47	1	9	37	-	8	-	3	5	-
"합계"	송파구	173	69	35	17	16	1	97	3	14	79	1	7	2	1	4	-
"합계"	강동구	284	132	71	49	10	2	136	2	77	49	8	16	-	6	6	4
   
